url,company_name,emails,phone_numbers
https://www.avit.co.ke,Failed,,
https://www.alkancit.com/,You are being redirected...,,
https://www.catsgroup.co.tz,Home,,
https://WWW.CCTZ.COM,Failed,,
https://aircomglobal.com/,Aircom Global,"sales@aircomglobal.com, sales.ug@aircomglobal.com, sales.india@aircomglobal.com, sales.tz@aircomglobal.com",
https://ariestechnologiesltd.co.tz/,ARIES TECHNOLOGIES LIMITED,jk@ariestechnologiesltd.co.tz,
https://www.bck.co.ke,https://www.bck.co.ke,,
https://www.bigbee.io/,Bigbee Technology,,
https://www.ctgafrica.com/,https://www.ctgafrica.com/,,
https://www.airtel.africa,Airtel Africa,,
https://services.global.ntt/en-us/new-404?searchTerm=ke,NTT,,
https://www.dolphin.co.tz,Failed,,
https://www.clc-training.com/,Home,info.africa@clc-training.com,+254 758 809066
https://district30.africa/,Home,,
https://www.datacentrixs.com/,Datacentrix Solutions Limited – Inspiring Technology,info@datacentrixs.com,"+255 685 676800, +255 759 670932"
https://groupcis.com/,CIS Group,,
https://aplite.co.tz,https://aplite.co.tz,,
https://dynatech.co.tz/,Dynatech Solutions - Value built on Technology,info@dynatech.co.tz,
https://yahoo.uservoice.com/forums/193847-search,US Search Desktop: Hot (2 ideas) – Yahoo Feedback,,
https://www.envotec.co.tz/,My Website,,767 605137
https://www.ibm.com/in-en,IBM,,
http://www.e-com.co.tz/,e,info@e-com.co.tz,"+255 22 2617996, 0800-0500"
https://www.three.com/,Home,,
https://www.freedomuhuru.com,Account Suspended,,
https://www.infogear.co.tz/,Infogear Technology,Sales@infogear.co.tz,
https://www.ivosolutions.co.tz/,https://www.ivosolutions.co.tz/,,
https://www.jeis.co.tz/,JEIS Industries,business@jeis.co.tz,
https://www.isontechnologies.com/,iSON Technologies,,
https://kalamutech.co.tz,404 Not Found,,
https://www.it.co.tz,Home,,+255 22 277 5873
https://www.matlucky.co.tz,Matlucky Company Limited,info@matlucky.co.tz,
https://dte-tech.com/,Down To Earth Technologies Limited – Innovation. Simplified.,support@dte-tech.com,(0) 204 34 3070
https://www.infosec.co.tz,Infosec | Cybersecurity Consulting Company - Ahead of cyber risks!,"info@infosec.co.tz, info@infosec.co.rw","+250793762753, +255673240533"
https://yahoo.uservoice.com/forums/193847-search,US Search Desktop: Hot (2 ideas) – Yahoo Feedback,,
https://palladiumtech.co.tz/,Palladium Tech Tanzania Ltd,info@palladiumtech.co.tz,
https://www.computechlimited.com,Failed,,
https://www.computertz.com,Failed,,
https://www.infosys.co.tz,Failed,,
https://konvergenz.co.ke/our-solutions/,Failed,,
https://www.groupmfi.com,Failed,,
https://seacom.com/,seacom,,
https://www.paones.co.tz/cgi-sys/suspendedpage.cgi,Account Suspended,,
https://www.techmahindra.com/,Tech Mahindra | Scale at Speed,,
https://sensortec.co.tz/,SensorTec Tanzania,info@sensortec.co.tz,
https://www.pi227africa.com/,https://www.pi227africa.com/,,
https://silensec.com/,Silensec,info@silensec.com,"(0) 20 8071814, +357 99 883356, +255 7955 34653, +260 7706 99737"
https://softnet.co.tz/,SoftNet Technologies Limited,"info@softnet.co.ug, info@softnet.co.tz",+255 22 251 5100
https://thescotiagroup.com/,Scotia – Pan,,
http://www.satconet.co.tz,Failed,,
https://247.tech/,247 Tech – Revolutionizing the delivery of technology – We help you invest and implement next generation technology tailored to your business in a simple and timely way.,,2001-2019
https://technomak.co.tz/,Technomak Consulting Limited – World Innovation,"support@technomak.co.tz, info@technomak.co.tz",+255763100705
https://www.techno-associates.com,Welcome To Technology Associates,,
https://www.ubx.co.tz,UBX – IT Services & Solutions,"sales@ubx.co.tz, info@ubx.co.tz",
https://www.techno-associates.com,Welcome To Technology Associates,,
https://www.sybyl.com,SYBYL,,
https://ttcs.co.tz/,TTCS,,
