partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones
imtac llc,IMTAC LLC,+96824707727,https://www.imtac.com/,"Post Box 196, Salalah Building, Minal Al Fahal, Muscat, OMAN",,+96824707727
Indus Novateur Software LLC,Indus Novateur LLC,+96893216605,https://www.indusnovateur.com/,"503, AL NAWRAS COMMERCIAL CENTER,, MUSCAT, OMAN",,+96893216605
Infocomm Solutions LLC,INFOCOMM GROUP,+96824151029,https://www.i-grp.com/,"FACILITY BUILDING, LG FLOOR, KOM5, RUSYAL, MUSCAT, OMAN",,+96824151029
Intech LLC,Intech LLC,+96824495116,https://www.intech.om,"Muscat, Muscat, OMAN",,+96824495116
Integrated Systems L.L.C,Integrated Systems L.L.C,+96824603205,"https://Madinat Sultan Qaboos, Inshirah Street, Villa 327, P.O. Box: 1019 P.C. 131 Oman","Madinat Qaboos Al Inshirah St. Villa 327, P.O.Box 1019, PC 131, Muscat, OMAN",,+96824603205
INTERNATIONAL INFORMATION TECHNOLOGY CO. LLC,OHI INTERNATIONAL INFORMATION,+96824609497,https://iitcoman.com/,"87, OHI Telecom House, Dohat Al Adab Street, AlKhuwair, MUSCAT, OMAN",,+96824609497
INTERNATIONAL TURNKEY SYSTEMS,INTERNATIONAL TURNKEY SYSTEMS,+97317273280,https://its.ws/,"Kfh Bldg., Manama, BAHRAIN",,+97317273280
INTERTEC SYSTEMS L L C,INTERTEC SYSTEMS LLC,+97317228070,https://www.intertecsystems.com/,"707, Manama Center 1, Government Road,, MANAMA, Manama, BAHRAIN",,+97317228070
INTERTECH LLC,INTERTECH LLC,+96824692018,https://intertechoman.com/,"4TH FLOOR, BAIT ATEEN BUILDING, BUILDING #233, WAY #3341,, NEAR ZAKHER MALL, AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN",,+96824692018
KHIMJI RAMDAS LLC,KHIMJI RAMDAS LLC,+96822336815,https://ict.kr.om,"KR INFRA, GHALA, MUSCAT, OMAN",,+96822336815
Looppe Design & Technology,Looppe Design & Technology,+96892774810,https://www.looppe.com,"OFFICE 8, BUILDING 1439, SEEB 42, AL-MAABELA, OMAN",,+96892774810
Majees Technical Services,MAJEES TECHNICAL SERVICES LLC,+96824597226,https://www.majeestech.com/,"AL KHUWAIR BLDG 1135 AL AZAIBA AREA, PO BOX 1045, MUSCAT, OMAN",,+96824597226
MHD Infotech LLC,MHD INFOTECH LLC,0096821147700,https://www.mhdinfotech.com,"4TH FLOOR, ELITE OFFICES BUILDING, ALKHUWAIR, MUSCAT, OMAN",,0096821147700
Middle East Telecommunication company LLC,Middle East Telecommunication company LLC,+96891117724,https://metcotech.om/,"SULTANATE OMAN, 701,7TH FLOOR, MAJAN1 BULLDING, MUSCAT, OMAN",,+96891117724
MIDDLE EAST TELECOMMUNICATIONS CO. W.L.L.,Al Massila Technology Co. L.L.C.,+9651813300,https://www.metco.net,"Ardiya, Industrial Area, Block 2, Buidling 163, Ardiya, KUWAIT",,+9651813300
Mohsin Haider Darwish L.L.C,Mohsin Haider Darwish L.L.C,71557300,https://www.mhditics.com/technology-communications,"HAMRIYA, MUSCAT, OMAN",,71557300
Mustafa Sultan Office Technology Co. L.L.C.,MUSTAFA SULTAN OFFICE TECHNOLOGY COMPANY LLC,Mustafa Sultan Offic,https://www.mustafasultan.com/,"PO 3340, AL KUWAIR, OMAN",,Mustafa Sultan Offic
Nasma Telecommunication LLC,NASMA TELECOMMUNICATION LLC,+96822084800,https://www.nasmatel.com,"FFDHL A/C NO 969114677 MUSCAT SULTANATE OF OMAN, MUSCAT, OMAN",,+96822084800
NATIONAL TELEPHONE SERVICES COMPANY L L C,"REX ROAD, RUWI, MUSCAT",+96824867179,https://www.omzest.com/nts.htm,"MAZOON TRAVEL BUILDING,, PO 2786, RUWI, OMAN",,+96824867179
NCR ATLEOS,"Cardtronics, Inc. (Oman Branch)",+97317224233,https://www.ncratleos.com/,"CITICENTER BUILDING FLOOR 6, PO BOX 265, AL MANAMAH, BAHRAIN",,+97317224233
NETLINX,NETLINX,+96824835848,https://www.netlinxoman.com,"HAMRIYA, MUSCAT, OMAN",,+96824835848
NXS,NXS,+96824901133,https://www.nxs-me.com,"Digital Nexus LLC (NXS), 18th November St., North Al Azaiba, Sultanate of Oman, Muscat, OMAN",,+96824901133
OMAN COMPUTER SERVICES L L C,OCS INFOTECH,+96824471300,https://www.ocsinfotech.com/,"BUILDING NO. 945 WAY 4509 STREET, AL KHUWAIR BLOCK 245, MUTTRAH, OMAN",,+96824471300
Oman Data Park,KNOWLEDGE OASIS MUSCAT,+96824171128,https://omandatapark.om/,"KOM 4, KOM4, MUSKAT, OMAN",,+96824171128
OMAN FIBRE OPTIC COMPANY SAOG,OMAN FIBER OPTIC COMPANY SAOG,+96899880561,https://www.omanfiber.com,"ROAD NO, 4C RUSAYL INDUSTRIAL AREA, MUSCAT, OMAN",,+96899880561
Omantel,OMANTEL,+96824243424,https://www.omantel.om/en,"OMANTEL HQ, AL-MAWALEH, MUSCAT, OMAN",,+96824243424
OMNIX INTERNATIONAL,Omnix International LLC,+96824566911,https://omnix.com,"WADI ADI, MUTTRAH, MUSCAT, OMAN",,+96824566911
ORB COMMUNICATIONS NETWORK LLC,ORB COMMUNICATIONS NETWORK LLC,+96822055927,https://www.orbcom.net/,"PO BOX 1510, AZIABA, MUSCAT, OMAN",,+96822055927
Oregon Systems,OREGON SYSTEMS SPC,+973 17744905,https://www.oregon-systems.com/,"OREGONSYSTEMS, MANAMA, BAHRAIN",,+973 17744905
Oriental Oryx Intl LLC Aptus Infotech,ORIENTAL ORYX,+96824238998,https://www.aptusinfotech.com/,"PO BOX 47 JIBROO 114, MUSCAT, OMAN",,+96824238998
Page ME LLC,PAGE Middle East LLC,+96895508491,https://www.pagemiddleeast.com/,"Office 31, Building 21, Qurm, MUSCAT, OMAN",,+96895508491
Precedence Technologies LLC,Precedence Techologies,+97477033239,https://www.precedenceuae.com,"#104 Building 430, Retaj Commercial Building, Al Murra, DOHA, QATAR",,+97477033239
professional technology services Anzyma,PROFESSIONAL TECHNOLOGY SERVICES ANZYMA,+96824942600,https://www.anzyma.com/,"AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, AL-KHUWAIR, OMAN",,+96824942600
ProVise Integrated Solutions LLC,PROVISE INTEGRATED SOLUTIONS LLC,+96824700953,https://provisev.com/,"OFFICE NO10, BUILDING NO 1304, WAY NO 2520, DARSIT, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN",,+96824700953
RAKAIZ DEVELOPMENT PROJECTS SPC,RAKAIZ DEVELOPMENT PROJECTS SPC,+96897153999,https://flowit.om/,"POBOX 24 PC 105, BOUSHER STREET, MUSCAT, OMAN, MUSCAT, OMAN, MUSCAT, OMAN",,+96897153999
Salama Integrated Solutions LLC,SALAMA INTEGRATED SOLUTIONS LLC,+96824709753,https://www.sis.co.om/,"GOUBRAH, MUSCAT, OMAN",,+96824709753
Schneider Electric Systems Middle East FZE,SEMEA Electrical & Automation (Oman Branch),+96524741373,http://www.schneider-electric.ae/en/,"BUILDING NUMBER 1670, STREET NUMBER 7,, BLOCK NUMBER 1, AL RAI INDUSTRIAL AREA, , KUWAIT, KUWAIT",,+96524741373
Securado,SECURADO,+96894294280,https://www.securado.net,"KNOWLEDGE OASIS MUSCAT KOM, MUSCAT, OMAN",,+96894294280
Simpra Advanced Technology LLC,SIMPRA ADVANCED TECHNOLOGY LLC,+96824155888,https://www.simpra.om/,"KOM 4 RUSALY ZONE-1 107, PO BOX 12,PC 135, MUSCAT, OMAN",,+96824155888
Site Technology Ltd.,Site Technology LLC,+96822842333,https://www.site-technology.com/,"AL NOOR BUILDING,1ST FLOOR , OFFICE NO17, AL QURUM AREA , MUSCAT, OMAN",,+96822842333
SMART DIGITAL TECHNOLOGIES,SMART DIGITAL TECHNOLOGIES,+96822512776,https://smart-digitech.com/,"GHUBRAH, MUSCAT, MUSCAT, OMAN",,+96822512776
SPECTRUM TECHNICAL SERVICES,SPECTRUM TECHNICAL SERVICES,+96891922785,https://spectrumtech.om/,"AL AZAIBAH, PO BOX 2967, MUSCAT, OMAN",,+96891922785
Supreme System Distributors SPC,SUPREME SYSTEM DISTRIBUTORS SPC,+96824788310,https://sysllc.com/om/,"RUWI PLAZA, SHOP NO 105,106 OPPOSITE DOFAR BUILDING,, RUWI, OMAN",,+96824788310
Syscom Distributions LLC,Supreme System Distributors SPC,+96824781836,http://www.sysllc.com/,"AL SHUMOOR BUILDING 6TH FLOOR OFFICE, 62 OPP CHAMBER OF COMMERCE, MUSCAT, OMAN",,+96824781836
Target Development Company,Target Development Company,+96899254444,https://WWW.TDCOMAN.CO,"OFFICE NO: 01-6 - 1ST-floor Al-Seddah Furniture building, Al Rubat Street, Salalah - Sultanate of Oman, SALALAH, OMAN",,+96899254444
Tech Cloud Solutions LLC,TECH CLOUD SOLUTIONS LLC,+96898235616,https://manchigroup.com/,"FLAT NO 702, BUILDING NO 2112, WAY NO 5026, GHALA, NEAR CENTARA HOTEL, MUSCAT, OMAN",,+96898235616
Tech IT Support Advanced & Services LLC,TECH IT SUPPORT ADVANCED & SERVICES LLC,+96822312530,https://tech-itsupport.com/,"MUSCAT GRAND MALL, AL TAKWEEN BUSINESS CENTER,5TH FLOOR, BUILDING NO -4, AL-KHUWAIR, OMAN",,+96822312530
Tech Mahindra Limited,TECH MAHINDRA LTD,+97450532917,https://www.techmahindra.com/,"PAM TOWER, DOHA, QATAR",,+97450532917
TEKDEL COMPUTERS TRADING LLC,Global Technology Solutions LLC,+96824782252,https://www.tekdeliver.com/,"CBD, MUSCAT, OMAN",,+96824782252
THE OVERALL REAL VISION LLC,THE OVERALL REAL VISION LLC,+96824298257,https://www.torv.net/,"PC-112 AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN",,+96824298257
THREEDOTS TECHNOLOGY LLC,THREEDOTS TECHNOLOGY LLC,+96824290577,https://www.3dotstech.com,"AL MAHA STREET, AL KHUWAIR, MUSCAT, OMAN",,+96824290577
Urich Computer LLC,URICH COMPUTER SYSTEMS Co LLC,+96824700365,https://www.urichco.com/,"PO BOX 413, MUSCAT, OMAN",,+96824700365
VANGUARD TECH SERVICES LLC,VANGUARD TECH SERVICES LLC,+96894967804,https://vanguard-techservices.com/,"#14, BUILDING NO 233, WAY NO 281, PLOT NO 848, AL KHUWAIR, MUSCAT, SULTANATE OF OMAN, MUSCAT, OMAN",,+96894967804
Wipro UAE,WIPRO GULF LLC,,https://www.wipro.com/,"FLAT/SHOP NO 510, BUILDING 2795, ROAD/STREET 2835, AL SEEF, BLOCK 428, AL MANAMAH, BAHRAIN",,
ZAIN SOLUTIONS,ZAIN SOLUTIONS,+96898271338,https://www.zainom.com/,"AL KHAWD / AL SEEB / MUSCAT GOVERNORATE, AL-SEEB, OMAN",,+96898271338
ZAK Solutions for Computer Systems,ZAK SOLUTION FOR COMPUTER SYSTEMS LLC,+97333828501,https://www.zaksolutions.com/,"PO BOX 21348 ,MANAMA, VILLA 1962, ROAD 4155, BLOCK 341 , JUFFAIR, BAHRAIN",,+97333828501
